id,refComponent,refMacrostep,robot,quantity,complete,timestamp,image,model
None,Relationship,Relationship,Integer,Integer,Boolean,Integer,String,String
0,B100339,0,0,1,0,-1,,
1,HI00007,0,0,1,0,-1,,
2,B100293ZN,0,0,1,0,-1,,
3,U5927-M10X12,0,1,3,0,-1,,
4,U7435-D25,0,0,1,0,-1,,
5,B100242,1,0,1,0,-1,,
6,HI00006,1,0,1,0,-1,,
7,B100340,1,3,1,0,-1,,
8,CM00023,1,0,1,0,-1,,
9,B100240,1,0,1,0,9,,
10,U7473-M16,2,2,1,0,-1,,
11,B100337,2,0,2,0,-1,,
12,B100290ZN,2,0,1,0,-1,,
13,CM00016,2,0,4,0,-1,,
14,U7437-D62,2,1,2,0,-1,,
15,B100338,2,0,2,0,-1,,
16,U5933-M12X25 A2,2,0,2,0,-1,,
